# Wavelength [nm]	Transmittance
121	0.00142724
121.2	0.00055255
121.4	2.0585E-05
121.6	7.89702E-05
121.8	0.000159571
122	0.000435278
122.2	0.001004676
122.4	0.001397242
122.6	0.003101568
122.8	0.008761606
123	0.019813722
123.2	0.040391809
123.4	0.072855834
123.6	0.14613936
123.8	0.228532736
124	0.297423202
124.2	0.386965634
124.4	0.458294728
124.6	0.518769385
124.8	0.560829935
125	0.58728966
125.2	0.644386511
125.4	0.672196239
125.6	0.678052523
125.8	0.687149458
126	0.704820256
130	0.776078311
135	0.792318634
140	0.803430691
