Wavelength(nm),   Transmittance(%)
115,9.75
115.5,11.28
116,13.75
116.5,14.38
117,15.75
117.5,16.66
118,18.74
118.5,19.66
119,20.97
119.5,22.53
120,22.92
120.5,23.69
121,24.56
121.5,24.89
122,25.11
122.5,25.68
123,26.24
123.5,26.85
124,26.44
124.5,25.51
125,24.55
125.5,23.99
126,23.40
126.5,22.78
127,22.04
127.5,21.25
128,20.75
128.5,19.86
129,19.10
129.5,18.44
130,17.88
130.5,17.33
131,16.75
131.5,16.13
132,15.61
132.5,15.08
133,14.53
133.5,14.00
134,13.54
134.5,13.07
135,12.67
135.5,12.26
136,11.86
136.5,11.49
137,11.16
137.5,10.79
138,10.49
138.5,10.22
139,9.96
139.5,9.67
140,9.43
140.5,9.17
141,8.95
141.5,8.73
142,8.51
142.5,8.33
143,8.16
143.5,7.98
144,7.78
144.5,7.65
145,7.51
145.5,7.36
146,7.22
146.5,7.11
147,6.98
147.5,6.88
148,6.77
148.5,6.67
149,6.56
149.5,6.48
150,6.40
150.5,6.32
151,6.22
151.5,6.14
152,6.08
152.5,6.00
153,5.94
153.5,5.88
154,5.82
154.5,5.75
155,5.68
155.5,5.62
156,5.58
156.5,5.52
157,5.48
157.5,5.41
158,5.38
158.5,5.33
159,5.29
159.5,5.25
160,5.19
160.5,5.15
161,5.09
161.5,5.06
162,5.04
162.5,4.98
163,4.95
163.5,4.91
164,4.88
164.5,4.84
165,4.80
165.5,4.77
166,4.73
166.5,4.66
167,4.66
167.5,4.59
168,4.57
168.5,4.58
169,4.52
169.5,4.49
170,4.44
170.5,4.42
171,4.36
171.5,4.36
172,4.32
172.5,4.29
173,4.23
173.5,4.23
174,4.18
174.5,4.18
175,4.10
175.5,4.08
176,4.06
176.5,4.02
177,3.96
177.5,3.93
178,3.89
178.5,3.87
179,3.86
179.5,3.82
180,3.76
180.5,3.68
181,3.66
181.5,3.65
182,3.60
182.5,3.59
183,3.55
183.5,3.48
184,3.48
184.5,3.42
185,3.39
185.5,3.33
186,3.32
186.5,3.27
187,3.27
187.5,3.23
188,3.19
188.5,3.16
189,3.14
189.5,3.08
190,3.06
190.5,3.02
191,2.99
191.5,2.96
192,2.94
192.5,2.88
193,2.83
193.5,2.85
194,2.76
194.5,2.75
195,2.73
195.5,2.69
196,2.66
196.5,2.63
197,2.60
197.5,2.63
198,2.54
198.5,2.54
199,2.51
199.5,2.46
200,2.44
