Wavelength(nm),   Transmittance(%)
120,24.46
123,36.69
126,41.54
129,41.14
132,39.53
135,36.65
138,33.99
141,30.88
144,28.88
147,26.78
150,24.90
153,22.95
156,21.56
159,20.22
162,18.97
165,17.88
168,16.83
171,15.84
174,14.88
177,14.04
180,12.59
183,11.74
186,10.86
189,10.25
192,9.44
195,9.06
198,8.50
201,7.89
204,7.49
207,7.19
210,6.82
213,6.42
216,6.09
219,5.71
222,5.47
225,5.21
228,4.92
231,4.71
234,4.47
237,4.25
240,4.14
243,3.90
246,3.71
249,3.55
252,3.39
255,3.25
258,3.12
261,2.95
264,2.85
267,2.77
270,2.66
273,2.62
276,2.55
279,2.52
282,2.41
285,2.32
288,2.31
291,2.20
294,2.15
297,2.10
300,2.04
303,1.97
306,1.93
309,1.89
312,1.81
315,1.76
318,1.74
321,1.78
324,1.71
327,1.66
330,1.55
333,1.48
336,1.44
339,1.41
342,1.36
345,1.33
348,1.28
351,1.15
354,1.12
357,1.09
360,1.08
363,1.04
366,1.02
369,0.99
372,0.96
375,0.95
378,0.91
381,0.89
384,0.87
387,0.86
390,0.84
393,0.82
396,0.80
399,0.78
