wavelength[A],Point source sensitivity [(counts/s/pix)/(erg/cm2/s/A)]
1152.361461012714, 7080167766916.156
1151.5614022194459, 6058792996984.148
1154.3616079958845, 9211320687176.164
1153.5615492026163, 8454208879356.391
1153.3615345042992, 7820546077732.414
1156.361754979055, 10546843183872.43
1155.3616814874697, 9766999078236.547
1158.1618872639083, 11321319941412.844
1159.777390596469, 12274898547505.477
1161.2121114132433, 13173291829118.79
1160.9620930403469, 12722197794330.422
1163.6956272506798, 14449852428354.531
1165.962460498273,1.54848E+13
1167.7625927831264, 16913465204175.094
1166.7625192915411, 16018380977665.89
1169.7627397662968, 17925052456991.836
1171.5628720511502,1.87778E+13
1172.7629602410525, 19683964000513.094
1174.5630925259059, 20534530810465.75
1177.1347100756964, 21557348900894.03
1179.4301168516204, 22524080458912.93
1181.1635775703683,2.36905E+13
1182.9637098552216, 24517418823662.78
1184.963856838392,2.5225E+13
1186.7639891232454, 26551012299128.664
1185.9639303299773,2.57364E+13
1188.764136106416, 27381688348492.227
1189.564194899684, 28055132671294.383
1191.6532373043287, 29098472975028.875
1194.2312045270817,3.0209E+13
1196.3646946424633, 31274278623141.938
1199.2537958403764, 32373006350920.43
1202.1651208936578, 33519408758841.04
1205.1653413684132, 34726114901246.03
1207.9655471448518, 35858625349390.125
1209.7656794297054, 36633733559647.65
1211.5658117145585,3.7513E+13
1213.565958697729, 38506306592249.44
1215.5661056808995, 39382131510886.66
1217.3662379657528, 40165764332825.23
1219.3663849489233, 41506969903975.52
1218.366311457338, 40682924108141.66
1221.1665172337766, 42293128536782.55
1223.166664216947, 43152219958416.25
1225.4525464834276, 44567711431358.46
1224.1667377085323,4.3695E+13
1228.2215811380506, 45710722856181.31
1230.7672227529947, 46688039447896.51
1232.7673697361652,4.80425E+13
1231.767296, 47218459730272.33
1233.7674432277504, 48653436029914.06
1236.1830053535793, 49472017331080.59
1238.3677812890423, 50530429231535.66
1240.6536635555228, 51614723754351.53
1243.6824575586095, 52793961703562.07
1245.1682810318218, 53543721597604.016
1247.9684868082604, 54412420121290.95
1250.8575880061733, 55215808392522.09
1253.7689130594547, 56067006655191.86
1257.9692217241127,5.70166E+13
1261.3694715955023, 57384059159912.55
1265.5697802601603, 58087247365896.17
1269.9701036231352, 58463197502262.38
1274.370427, 58713769421371.74
1278.7707503490851, 58868762361027.016
1283.171074, 58868762361027.016
