https://uvex2023.caltech.edu/system/media_files/binaries/6/original/UVEX_slides_bg_-_Brian_Grefenstette.pdf?1680041999,,
lambda [A],throughput,UVEX cm^2
1151.14134,0.028237826,124.7508946
1168.128534,0.03290403,145.3655507
1179.874998,0.037829824,167.1270415
1188.007165,0.0418037,184.683089
1196.139332,0.045949454,202.9984695
1201.560777,0.049033608,216.6238439
1206.078648,0.052331985,231.1956265
1212.403667,0.056647252,250.2598932
1219.63226,0.061246444,270.5785026
1226.860853,0.064689368,285.7888716
1234.089446,0.067942184,300.1593722
1242.221613,0.071723348,316.8640462
1251.257354,0.076095363,336.1790149
1259.389522,0.080056218,353.6775371
1266.618115,0.083543413,369.0834919
1273.846708,0.086958992,384.1730578
1281.978875,0.091247717,403.1200654
1291.014617,0.095957237,423.926088
1299.146784,0.100360808,443.3804681
1305.471803,0.103921227,459.109915
1310.893248,0.107044444,472.9078651
1317.218267,0.11110487,490.8462809
1324.44686,0.115907191,512.0622839
1330.771879,0.120177815,530.9293213
1336.193323,0.123768301,546.7916053
1341.614768,0.12738855,562.7853756
1347.939787,0.131524499,581.0574377
1355.16838,0.135740873,599.6848053
1363.300548,0.139558496,616.5505501
1372.336289,0.143086747,632.1378838
1380.468456,0.145966855,644.8618119
1390.407772,0.149875387,662.129175
1403.05781,0.154447074,682.3262722
1416.611422,0.158962652,702.2754819
1432.875756,0.163508004,722.3562341
1448.236517,0.167745497,741.0769067
1464.500851,0.171958813,759.6907655
1485.283056,0.175892818,777.0706649
1506.065261,0.179323342,792.2262554
1529.558189,0.182397829,805.8089234
1550.84238,0.184377717,814.5558013
1569.114657,0.184927098,816.9828933
1588.190111,0.182819914,807.6736373
1607.265565,0.180191887,796.0633722
1628.951344,0.177335701,783.4451277
1652.444272,0.174231109,769.7294589
1675.937199,0.171055492,755.7000161
1699.430127,0.168135562,742.8001597
1722.923054,0.165187222,729.7747936
1744.207245,0.163027206,720.2321346
1762.479522,0.161475858,713.3784893
1781.153388,0.159802845,705.9873415
1802.437578,0.157688599,696.6468924
1825.930506,0.154981741,684.6883579
1847.214697,0.154051227,680.5774752
1865.486974,0.155295065,686.0725794
1882.855677,0.156675929,692.1730495
1905.44503,0.15833557,699.5051216
1926.327632,0.159788439,705.9236997
1944.599909,0.16108436,711.6489049
1964.177349,0.162527412,718.0241114
1986.766703,0.164231444,725.5522923
2007.649305,0.165889493,732.8773286
2026.32317,0.167654036,740.6728416
2044.595447,0.169297185,747.9320529
2066.281227,0.16941769,748.4644248
2087.515219,0.168247487,743.29463
2104.005447,0.167362986,739.3870233
2125.91712,0.166173023,734.1299274
2151.217196,0.164729778,727.7538681
2172.099798,0.163246993,721.2031215
2190.296777,0.161728223,714.4934018
2209.04594,0.160230968,707.878732
2237.056739,0.158560003,700.4966351
2261.45324,0.157249169,694.7055463
2282.335843,0.156108876,689.6678876
2299.855141,0.155206665,685.682042
2321.089134,0.154004502,680.3710489
2344.582061,0.151837425,670.7971967
2365.866252,0.149656891,661.1638919
2384.540117,0.147792902,652.9290406
2403.213983,0.14589419,644.5407888
2424.096585,0.143884249,635.6611419
2445.782365,0.141419484,624.7721408
2467.066555,0.138945384,613.8419035
2485.720341,0.136741118,604.1037562
2504.815875,0.134557537,594.4569889
2520.779018,0.13275523,586.4946414
2547.886242,0.12973559,573.1542815
2570.475596,0.12724353,562.1446954
2591.759786,0.125135598,552.8321373
2610.232858,0.123577672,545.9494292
2628.705929,0.122032766,539.1242463
2649.99012,0.120284689,531.4014764
2671.27431,0.118598165,523.950644
2689.546587,0.11720307,517.7873014
2707.818864,0.115929504,512.1608611
2731.311792,0.114475823,505.7386942
2743.058256,0.113981783,503.5560922
